Node1,Relationship,Node2
9D003,specifiedBy,9B990
9D003,specifiedBy,9B991
9D004.b.1.a,specifiedBy,9E003.a
9D004.b.1.a,specifiedBy,9E003.h
9D004.b.1.a,specifiedBy,9E003.i
9D004.b.1.b,specifiedBy,9E003.a
9D004.b.1.b,specifiedBy,9E003.h
9D004.c,specifiedBy,9B001.a
9D004.c,specifiedBy,9B001.c
9D004.e,specifiedBy,9A012
9D005,specifiedBy,9A004.e
9D005,specifiedBy,9A004.f
9D005,specifiedBy,9D515
9E003.a.2.d,specifiedBy,9E003.c
9E003.a.3.b.1.b,specifiedBy,1C010
9E003.a.3.b.1.c,specifiedBy,1C002.a
9E003.a.3.b.2,specifiedBy,1C007
9E003.c,specifiedBy,9E003.a.1
9E003.c,specifiedBy,9E003.a.2
9E003.c,specifiedBy,9E003.a.5
9A001.a,controlledBy,9E003.a
9A001.a,controlledBy,9E003.h
9A001.a,controlledBy,9E003.i
9A003,controlledBy,9E003.a
9A003,controlledBy,9E003.h
9A003,controlledBy,9E003.i
9A006,controlledBy,9E003.k
9A003.a,controlledBy,9A001
9A005,controlledBy,9A006
9A012.b.3,controlledBy,9A012.a
9A101,controlledBy,9A001
9A106,controlledBy,9A006
9A107,controlledBy,9A007
9A108,controlledBy,9A008
9A109,controlledBy,9A009
9A118,controlledBy,9A011
9A119,controlledBy,9A111
9A119,controlledBy,9A005
9A119,controlledBy,9A007
9A119,controlledBy,9A009
9A119,controlledBy,9A105
9A119,controlledBy,9A107
9A119,controlledBy,9A109
9A515.d,controlledBy,9A004.v
9A515.d,controlledBy,9A515
9A515.e,controlledBy,9A004.u
9A515.e,controlledBy,9A515
9A515.x,controlledBy,9A515
9A604.b,controlledBy,9A604.a
9A610.e,controlledBy,9A610.a
9A610.f,controlledBy,9A610.a
9A610.g,controlledBy,9A610.a
9A610.h,controlledBy,9A610.a
9A610.u,controlledBy,9A610.a
9A610.v,controlledBy,9A610.a
9A610.w.1,controlledBy,9A610.a
9A610.y.30,controlledBy,9A610.h
9A620.x,controlledBy,9A620
9A991,controlledBy,9A001
9A991,controlledBy,9A101
9B002.b,controlledBy,9E003.h
9B002.b,controlledBy,9E003.i
9B115,controlledBy,9A101
9B116,controlledBy,9A012
9B117,controlledBy,9A101
9B610.c,controlledBy,9A610.a
9B991,controlledBy,9B001
9B991.b,controlledBy,9E003.c
9C610,controlledBy,9A610
9C619,controlledBy,9A619
9D001,controlledBy,9D003
9D001,controlledBy,9D004
9D001,controlledBy,9A001
9D001,controlledBy,9A004
9D001,controlledBy,9A012
9D001,controlledBy,9A101
